City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,vila velha,-20.3297,-40.2925,24.97,88,20,6.69,BR,1695785577
84,la passe,45.5549,-0.8967,14.43,89,98,3.68,FR,1695785577
85,aswan,24.0934,32.907,28.61,21,0,4.63,EG,1695785577
86,probolinggo,-7.7543,113.2159,31.3,46,5,4.71,ID,1695785578
87,mar del plata,-38.0023,-57.5575,8.94,89,0,2.06,AR,1695785578
88,nishinoomote,30.7333,131.0,29.31,78,20,2.06,JP,1695785578
89,hirara,24.8,125.2833,30.92,79,40,6.17,JP,1695785578
90,pak phanang,8.3511,100.202,28.01,79,99,4.73,TH,1695785579
91,san antonio de pale,-1.4014,5.6325,24.1,86,94,5.28,GQ,1695785579
92,saudarkrokur,65.7461,-19.6394,5.54,92,98,2.68,IS,1695785579
93,tolanaro,-25.0319,46.9987,22.04,73,20,3.09,MG,1695785579
94,aras-asan,8.8908,126.3033,29.72,69,39,1.52,PH,1695785579
95,howrah,22.5892,88.3103,31.0,84,40,0.0,IN,1695785580
96,varna,43.2167,27.9167,19.08,82,52,5.14,BG,1695785580
97,howard springs,-12.497,131.047,32.12,20,27,3.09,AU,1695785580
98,constantia,44.1833,28.65,18.38,71,7,9.29,RO,1695785580
99,meadville,41.6414,-80.1515,14.58,88,100,3.13,US,1695785341
100,uturoa,-16.7333,-151.4333,25.59,78,33,9.42,PF,1695785581
101,lebu,-37.6167,-73.65,7.31,79,12,5.52,CL,1695785581
102,fort mcmurray,56.7268,-111.381,15.77,63,100,2.06,CA,1695785414
103,chonchi,-42.6128,-73.8092,8.4,97,100,3.04,CL,1695785582
104,alaior,39.9303,4.1404,16.86,82,0,2.06,ES,1695785582
105,kodiak,57.79,-152.4072,9.73,46,75,3.09,US,1695785582
106,ust'-ilimsk,58.0006,102.6619,11.52,47,62,1.22,RU,1695785583
107,vuktyl,63.8567,57.3094,9.87,95,100,3.46,RU,1695785583
108,mossel bay,-34.1831,22.146,12.96,73,49,1.64,ZA,1695785583
109,cold lake,54.4502,-110.2017,14.97,67,40,2.06,CA,1695785466
110,edinburgh of the seven seas,-37.0676,-12.3116,12.54,76,18,10.56,SH,1695785584
111,kingston,17.997,-76.7936,29.53,84,20,3.09,JM,1695785335
112,amursk,50.2261,136.8994,18.69,65,77,3.86,RU,1695785584
113,tromso,69.6496,18.957,12.01,82,75,6.69,NO,1695785572
114,ancud,-41.8697,-73.8203,9.17,89,100,7.98,CL,1695785585
115,qulsary,46.9531,54.0198,19.91,38,15,3.46,KZ,1695785585
